Player Name,Club,Position,Metric,Value
José Luis Gayà,Valencia,Fullback,NPG,0
José Luis Gayà,Valencia,Fullback,NPXG,1.0
José Luis Gayà,Valencia,Fullback,Assists,1
José Luis Gayà,Valencia,Fullback,Passes attempted,996
José Luis Gayà,Valencia,Fullback,Pass Completion,77.8
José Luis Gayà,Valencia,Fullback,Yellow Cards,7
José Luis Gayà,Valencia,Fullback,Red Cards,0
José Luis Gayà,Valencia,Fullback,Progressive carries,29
José Luis Gayà,Valencia,Fullback,Progressive Passes,59
José Luis Gayà,Valencia,Fullback,Key passes,24
José Luis Gayà,Valencia,Fullback,Passes into final third,44
José Luis Gayà,Valencia,Fullback,Crosses,84
José Luis Gayà,Valencia,Fullback,Switches,5
José Luis Gayà,Valencia,Fullback,Through Balls,1
José Luis Gayà,Valencia,Fullback,Shot creating actions,39
José Luis Gayà,Valencia,Fullback,Tackles won,40
José Luis Gayà,Valencia,Fullback,Challenges won,60
José Luis Gayà,Valencia,Fullback,Blocks,16
José Luis Gayà,Valencia,Fullback,Aerials won,10
José Luis Gayà,Valencia,Fullback,Ball recoveries,93
