Player Name,Club,Position,Metric,Value
Borna Sosa,Crystal Palace,Fullback,NPG,0
Borna Sosa,Crystal Palace,Fullback,NPXG,0.3
Borna Sosa,Crystal Palace,Fullback,Assists,0
Borna Sosa,Crystal Palace,Fullback,Passes attempted,686
Borna Sosa,Crystal Palace,Fullback,Pass Completion,79.6
Borna Sosa,Crystal Palace,Fullback,Yellow Cards,0
Borna Sosa,Crystal Palace,Fullback,Red Cards,0
Borna Sosa,Crystal Palace,Fullback,Progressive carries,13
Borna Sosa,Crystal Palace,Fullback,Progressive Passes,51
Borna Sosa,Crystal Palace,Fullback,Key passes,11
Borna Sosa,Crystal Palace,Fullback,Passes into final third,43
Borna Sosa,Crystal Palace,Fullback,Crosses,51
Borna Sosa,Crystal Palace,Fullback,Switches,4
Borna Sosa,Crystal Palace,Fullback,Through Balls,0
Borna Sosa,Crystal Palace,Fullback,Shot creating actions,24
Borna Sosa,Crystal Palace,Fullback,Tackles won,19
Borna Sosa,Crystal Palace,Fullback,Challenges won,NA
Borna Sosa,Crystal Palace,Fullback,Blocks,13
Borna Sosa,Crystal Palace,Fullback,Aerials won,16
Borna Sosa,Crystal Palace,Fullback,Ball recoveries,53
