Player Name,Club,Position,Metric,Value
Destiny Udogie,Tottenham Hotspur,Fullback,NPG,0
Destiny Udogie,Tottenham Hotspur,Fullback,NPXG,0.3
Destiny Udogie,Tottenham Hotspur,Fullback,Assists,1
Destiny Udogie,Tottenham Hotspur,Fullback,Passes attempted,1115
Destiny Udogie,Tottenham Hotspur,Fullback,Pass Completion,87.2
Destiny Udogie,Tottenham Hotspur,Fullback,Yellow Cards,2
Destiny Udogie,Tottenham Hotspur,Fullback,Red Cards,0
Destiny Udogie,Tottenham Hotspur,Fullback,Progressive carries,54
Destiny Udogie,Tottenham Hotspur,Fullback,Progressive Passes,121
Destiny Udogie,Tottenham Hotspur,Fullback,Key passes,16
Destiny Udogie,Tottenham Hotspur,Fullback,Passes into final third,89
Destiny Udogie,Tottenham Hotspur,Fullback,Crosses,19
Destiny Udogie,Tottenham Hotspur,Fullback,Switches,0
Destiny Udogie,Tottenham Hotspur,Fullback,Through Balls,0
Destiny Udogie,Tottenham Hotspur,Fullback,Shot creating actions,36
Destiny Udogie,Tottenham Hotspur,Fullback,Tackles won,47
Destiny Udogie,Tottenham Hotspur,Fullback,Challenges won,NA
Destiny Udogie,Tottenham Hotspur,Fullback,Blocks,40
Destiny Udogie,Tottenham Hotspur,Fullback,Aerials won,13
Destiny Udogie,Tottenham Hotspur,Fullback,Ball recoveries,111
