Player Name,Club,Position,Metric,Value
Raphaël Guerreiro,Bayern Munich,Fullback,NPG,4
Raphaël Guerreiro,Bayern Munich,Fullback,NPXG,2.9
Raphaël Guerreiro,Bayern Munich,Fullback,Assists,4
Raphaël Guerreiro,Bayern Munich,Fullback,Passes attempted,1359
Raphaël Guerreiro,Bayern Munich,Fullback,Pass Completion,88.7
Raphaël Guerreiro,Bayern Munich,Fullback,Yellow Cards,2
Raphaël Guerreiro,Bayern Munich,Fullback,Red Cards,0
Raphaël Guerreiro,Bayern Munich,Fullback,Progressive carries,39
Raphaël Guerreiro,Bayern Munich,Fullback,Progressive Passes,85
Raphaël Guerreiro,Bayern Munich,Fullback,Key passes,27
Raphaël Guerreiro,Bayern Munich,Fullback,Passes into final third,77
Raphaël Guerreiro,Bayern Munich,Fullback,Crosses,27
Raphaël Guerreiro,Bayern Munich,Fullback,Switches,2
Raphaël Guerreiro,Bayern Munich,Fullback,Through Balls,8
Raphaël Guerreiro,Bayern Munich,Fullback,Shot creating actions,54
Raphaël Guerreiro,Bayern Munich,Fullback,Tackles won,12
Raphaël Guerreiro,Bayern Munich,Fullback,Challenges won,NA
Raphaël Guerreiro,Bayern Munich,Fullback,Blocks,9
Raphaël Guerreiro,Bayern Munich,Fullback,Aerials won,8
Raphaël Guerreiro,Bayern Munich,Fullback,Ball recoveries,94
