Player Name,Club,Position,Metric,Value
Andrew Robertson,Liverpool,Fullback,NPG,0
Andrew Robertson,Liverpool,Fullback,NPXG,1.2
Andrew Robertson,Liverpool,Fullback,Assists,1
Andrew Robertson,Liverpool,Fullback,Passes attempted,1885
Andrew Robertson,Liverpool,Fullback,Pass Completion,82.7
Andrew Robertson,Liverpool,Fullback,Yellow Cards,3
Andrew Robertson,Liverpool,Fullback,Red Cards,1
Andrew Robertson,Liverpool,Fullback,Progressive carries,64
Andrew Robertson,Liverpool,Fullback,Progressive Passes,176
Andrew Robertson,Liverpool,Fullback,Key passes,40
Andrew Robertson,Liverpool,Fullback,Passes into final third,150
Andrew Robertson,Liverpool,Fullback,Crosses,147
Andrew Robertson,Liverpool,Fullback,Switches,6
Andrew Robertson,Liverpool,Fullback,Through Balls,4
Andrew Robertson,Liverpool,Fullback,Shot creating actions,80
Andrew Robertson,Liverpool,Fullback,Tackles won,22
Andrew Robertson,Liverpool,Fullback,Challenges won,NA
Andrew Robertson,Liverpool,Fullback,Blocks,10
Andrew Robertson,Liverpool,Fullback,Aerials won,7
Andrew Robertson,Liverpool,Fullback,Ball recoveries,105
