Player Name,Club,Position,Metric,Value
Juan Miranda,Bologna,Fullback,NPG,0
Juan Miranda,Bologna,Fullback,NPXG,0.7
Juan Miranda,Bologna,Fullback,Assists,6
Juan Miranda,Bologna,Fullback,Passes attempted,1877
Juan Miranda,Bologna,Fullback,Pass Completion,75.7
Juan Miranda,Bologna,Fullback,Yellow Cards,4
Juan Miranda,Bologna,Fullback,Red Cards,1
Juan Miranda,Bologna,Fullback,Progressive carries,34
Juan Miranda,Bologna,Fullback,Progressive Passes,163
Juan Miranda,Bologna,Fullback,Key passes,57
Juan Miranda,Bologna,Fullback,Passes into final third,156
Juan Miranda,Bologna,Fullback,Crosses,211
Juan Miranda,Bologna,Fullback,Switches,4
Juan Miranda,Bologna,Fullback,Through Balls,5
Juan Miranda,Bologna,Fullback,Shot creating actions,96
Juan Miranda,Bologna,Fullback,Tackles won,18
Juan Miranda,Bologna,Fullback,Challenges won,NA
Juan Miranda,Bologna,Fullback,Blocks,21
Juan Miranda,Bologna,Fullback,Aerials won,36
Juan Miranda,Bologna,Fullback,Ball recoveries,97
