Player Name,Club,Position,Metric,Value
Alex Telles,Botafogo (RJ),Fullback,NPG,0
Alex Telles,Botafogo (RJ),Fullback,NPXG,NA
Alex Telles,Botafogo (RJ),Fullback,Assists,0
Alex Telles,Botafogo (RJ),Fullback,Passes attempted,NA
Alex Telles,Botafogo (RJ),Fullback,Pass Completion,NA
Alex Telles,Botafogo (RJ),Fullback,Yellow Cards,0
Alex Telles,Botafogo (RJ),Fullback,Red Cards,0
Alex Telles,Botafogo (RJ),Fullback,Progressive carries,NA
Alex Telles,Botafogo (RJ),Fullback,Progressive Passes,NA
Alex Telles,Botafogo (RJ),Fullback,Key passes,NA
Alex Telles,Botafogo (RJ),Fullback,Passes into final third,NA
Alex Telles,Botafogo (RJ),Fullback,Crosses,21
Alex Telles,Botafogo (RJ),Fullback,Switches,NA
Alex Telles,Botafogo (RJ),Fullback,Through Balls,NA
Alex Telles,Botafogo (RJ),Fullback,Shot creating actions,NA
Alex Telles,Botafogo (RJ),Fullback,Tackles won,4
Alex Telles,Botafogo (RJ),Fullback,Challenges won,NA
Alex Telles,Botafogo (RJ),Fullback,Blocks,NA
Alex Telles,Botafogo (RJ),Fullback,Aerials won,NA
Alex Telles,Botafogo (RJ),Fullback,Ball recoveries,NA
