Player Name,Club,Position,Metric,Value
Álex Grimaldo,Leverkusen,Fullback,NPG,2
Álex Grimaldo,Leverkusen,Fullback,NPXG,2.5
Álex Grimaldo,Leverkusen,Fullback,Assists,7
Álex Grimaldo,Leverkusen,Fullback,Passes attempted,2094
Álex Grimaldo,Leverkusen,Fullback,Pass Completion,81.2
Álex Grimaldo,Leverkusen,Fullback,Yellow Cards,6
Álex Grimaldo,Leverkusen,Fullback,Red Cards,1
Álex Grimaldo,Leverkusen,Fullback,Progressive carries,86
Álex Grimaldo,Leverkusen,Fullback,Progressive Passes,160
Álex Grimaldo,Leverkusen,Fullback,Key passes,73
Álex Grimaldo,Leverkusen,Fullback,Passes into final third,108
Álex Grimaldo,Leverkusen,Fullback,Crosses,217
Álex Grimaldo,Leverkusen,Fullback,Switches,10
Álex Grimaldo,Leverkusen,Fullback,Through Balls,4
Álex Grimaldo,Leverkusen,Fullback,Shot creating actions,129
Álex Grimaldo,Leverkusen,Fullback,Tackles won,14
Álex Grimaldo,Leverkusen,Fullback,Challenges won,NA
Álex Grimaldo,Leverkusen,Fullback,Blocks,22
Álex Grimaldo,Leverkusen,Fullback,Aerials won,16
Álex Grimaldo,Leverkusen,Fullback,Ball recoveries,142
