Player Name,Club,Position,Metric,Value
Piero Hincapié,Arsenal,Fullback,NPG,2
Piero Hincapié,Arsenal,Fullback,NPXG,2.9
Piero Hincapié,Arsenal,Fullback,Assists,2
Piero Hincapié,Arsenal,Fullback,Passes attempted,2110
Piero Hincapié,Arsenal,Fullback,Pass Completion,87.9
Piero Hincapié,Arsenal,Fullback,Yellow Cards,8
Piero Hincapié,Arsenal,Fullback,Red Cards,0
Piero Hincapié,Arsenal,Fullback,Progressive carries,52
Piero Hincapié,Arsenal,Fullback,Progressive Passes,152
Piero Hincapié,Arsenal,Fullback,Key passes,16
Piero Hincapié,Arsenal,Fullback,Passes into final third,160
Piero Hincapié,Arsenal,Fullback,Crosses,37
Piero Hincapié,Arsenal,Fullback,Switches,7
Piero Hincapié,Arsenal,Fullback,Through Balls,2
Piero Hincapié,Arsenal,Fullback,Shot creating actions,35
Piero Hincapié,Arsenal,Fullback,Tackles won,40
Piero Hincapié,Arsenal,Fullback,Challenges won,NA
Piero Hincapié,Arsenal,Fullback,Blocks,40
Piero Hincapié,Arsenal,Fullback,Aerials won,65
Piero Hincapié,Arsenal,Fullback,Ball recoveries,105
