Player Name,Club,Position,Metric,Value
Álex Moreno,Girona,Fullback,NPG,0
Álex Moreno,Girona,Fullback,NPXG,0.2
Álex Moreno,Girona,Fullback,Assists,1
Álex Moreno,Girona,Fullback,Passes attempted,428
Álex Moreno,Girona,Fullback,Pass Completion,72.0
Álex Moreno,Girona,Fullback,Yellow Cards,2
Álex Moreno,Girona,Fullback,Red Cards,0
Álex Moreno,Girona,Fullback,Progressive carries,26
Álex Moreno,Girona,Fullback,Progressive Passes,34
Álex Moreno,Girona,Fullback,Key passes,8
Álex Moreno,Girona,Fullback,Passes into final third,25
Álex Moreno,Girona,Fullback,Crosses,19
Álex Moreno,Girona,Fullback,Switches,1
Álex Moreno,Girona,Fullback,Through Balls,3
Álex Moreno,Girona,Fullback,Shot creating actions,16
Álex Moreno,Girona,Fullback,Tackles won,18
Álex Moreno,Girona,Fullback,Challenges won,NA
Álex Moreno,Girona,Fullback,Blocks,11
Álex Moreno,Girona,Fullback,Aerials won,3
Álex Moreno,Girona,Fullback,Ball recoveries,50
