Player Name,Club,Position,Metric,Value
Ricardo Rodríguez,Real Betis,Fullback,NPG,0
Ricardo Rodríguez,Real Betis,Fullback,NPXG,0.2
Ricardo Rodríguez,Real Betis,Fullback,Assists,1
Ricardo Rodríguez,Real Betis,Fullback,Passes attempted,744
Ricardo Rodríguez,Real Betis,Fullback,Pass Completion,82.0
Ricardo Rodríguez,Real Betis,Fullback,Yellow Cards,0
Ricardo Rodríguez,Real Betis,Fullback,Red Cards,0
Ricardo Rodríguez,Real Betis,Fullback,Progressive carries,19
Ricardo Rodríguez,Real Betis,Fullback,Progressive Passes,63
Ricardo Rodríguez,Real Betis,Fullback,Key passes,7
Ricardo Rodríguez,Real Betis,Fullback,Passes into final third,50
Ricardo Rodríguez,Real Betis,Fullback,Crosses,15
Ricardo Rodríguez,Real Betis,Fullback,Switches,3
Ricardo Rodríguez,Real Betis,Fullback,Through Balls,0
Ricardo Rodríguez,Real Betis,Fullback,Shot creating actions,27
Ricardo Rodríguez,Real Betis,Fullback,Tackles won,15
Ricardo Rodríguez,Real Betis,Fullback,Challenges won,NA
Ricardo Rodríguez,Real Betis,Fullback,Blocks,10
Ricardo Rodríguez,Real Betis,Fullback,Aerials won,27
Ricardo Rodríguez,Real Betis,Fullback,Ball recoveries,55
