Player Name,Club,Position,Metric,Value
Milos Kerkez,Liverpool,Fullback,NPG,2
Milos Kerkez,Liverpool,Fullback,NPXG,0.5
Milos Kerkez,Liverpool,Fullback,Assists,5
Milos Kerkez,Liverpool,Fullback,Passes attempted,1776
Milos Kerkez,Liverpool,Fullback,Pass Completion,75.8
Milos Kerkez,Liverpool,Fullback,Yellow Cards,4
Milos Kerkez,Liverpool,Fullback,Red Cards,0
Milos Kerkez,Liverpool,Fullback,Progressive carries,106
Milos Kerkez,Liverpool,Fullback,Progressive Passes,159
Milos Kerkez,Liverpool,Fullback,Key passes,35
Milos Kerkez,Liverpool,Fullback,Passes into final third,87
Milos Kerkez,Liverpool,Fullback,Crosses,142
Milos Kerkez,Liverpool,Fullback,Switches,3
Milos Kerkez,Liverpool,Fullback,Through Balls,2
Milos Kerkez,Liverpool,Fullback,Shot creating actions,83
Milos Kerkez,Liverpool,Fullback,Tackles won,26
Milos Kerkez,Liverpool,Fullback,Challenges won,NA
Milos Kerkez,Liverpool,Fullback,Blocks,38
Milos Kerkez,Liverpool,Fullback,Aerials won,28
Milos Kerkez,Liverpool,Fullback,Ball recoveries,169
