Player Name,Club,Position,Metric,Value
Samuel Iling-Junior,West Bromwich Albion,Fullback,NPG,1
Samuel Iling-Junior,West Bromwich Albion,Fullback,NPXG,0.1
Samuel Iling-Junior,West Bromwich Albion,Fullback,Assists,0
Samuel Iling-Junior,West Bromwich Albion,Fullback,Passes attempted,87
Samuel Iling-Junior,West Bromwich Albion,Fullback,Pass Completion,71.3
Samuel Iling-Junior,West Bromwich Albion,Fullback,Yellow Cards,0
Samuel Iling-Junior,West Bromwich Albion,Fullback,Red Cards,0
Samuel Iling-Junior,West Bromwich Albion,Fullback,Progressive carries,5
Samuel Iling-Junior,West Bromwich Albion,Fullback,Progressive Passes,7
Samuel Iling-Junior,West Bromwich Albion,Fullback,Key passes,1
Samuel Iling-Junior,West Bromwich Albion,Fullback,Passes into final third,4
Samuel Iling-Junior,West Bromwich Albion,Fullback,Crosses,9
Samuel Iling-Junior,West Bromwich Albion,Fullback,Switches,1
Samuel Iling-Junior,West Bromwich Albion,Fullback,Through Balls,0
Samuel Iling-Junior,West Bromwich Albion,Fullback,Shot creating actions,7
Samuel Iling-Junior,West Bromwich Albion,Fullback,Tackles won,2
Samuel Iling-Junior,West Bromwich Albion,Fullback,Challenges won,NA
Samuel Iling-Junior,West Bromwich Albion,Fullback,Blocks,1
Samuel Iling-Junior,West Bromwich Albion,Fullback,Aerials won,0
Samuel Iling-Junior,West Bromwich Albion,Fullback,Ball recoveries,8
