Player Name,Club,Position,Metric,Value
Quentin Merlin,Rennes,Fullback,NPG,1
Quentin Merlin,Rennes,Fullback,NPXG,2.1
Quentin Merlin,Rennes,Fullback,Assists,3
Quentin Merlin,Rennes,Fullback,Passes attempted,1145
Quentin Merlin,Rennes,Fullback,Pass Completion,82.4
Quentin Merlin,Rennes,Fullback,Yellow Cards,1
Quentin Merlin,Rennes,Fullback,Red Cards,0
Quentin Merlin,Rennes,Fullback,Progressive carries,40
Quentin Merlin,Rennes,Fullback,Progressive Passes,86
Quentin Merlin,Rennes,Fullback,Key passes,25
Quentin Merlin,Rennes,Fullback,Passes into final third,57
Quentin Merlin,Rennes,Fullback,Crosses,95
Quentin Merlin,Rennes,Fullback,Switches,4
Quentin Merlin,Rennes,Fullback,Through Balls,0
Quentin Merlin,Rennes,Fullback,Shot creating actions,59
Quentin Merlin,Rennes,Fullback,Tackles won,17
Quentin Merlin,Rennes,Fullback,Challenges won,NA
Quentin Merlin,Rennes,Fullback,Blocks,20
Quentin Merlin,Rennes,Fullback,Aerials won,7
Quentin Merlin,Rennes,Fullback,Ball recoveries,69
