Player Name,Club,Position,Metric,Value
Fran Garcia,Real Madrid,Fullback,NPG,0
Fran Garcia,Real Madrid,Fullback,NPXG,0.9
Fran Garcia,Real Madrid,Fullback,Assists,2
Fran Garcia,Real Madrid,Fullback,Passes attempted,1551
Fran Garcia,Real Madrid,Fullback,Pass Completion,86.7
Fran Garcia,Real Madrid,Fullback,Yellow Cards,0
Fran Garcia,Real Madrid,Fullback,Red Cards,0
Fran Garcia,Real Madrid,Fullback,Progressive carries,78
Fran Garcia,Real Madrid,Fullback,Progressive Passes,119
Fran Garcia,Real Madrid,Fullback,Key passes,24
Fran Garcia,Real Madrid,Fullback,Passes into final third,87
Fran Garcia,Real Madrid,Fullback,Crosses,66
Fran Garcia,Real Madrid,Fullback,Switches,5
Fran Garcia,Real Madrid,Fullback,Through Balls,1
Fran Garcia,Real Madrid,Fullback,Shot creating actions,56
Fran Garcia,Real Madrid,Fullback,Tackles won,36
Fran Garcia,Real Madrid,Fullback,Challenges won,NA
Fran Garcia,Real Madrid,Fullback,Blocks,27
Fran Garcia,Real Madrid,Fullback,Aerials won,17
Fran Garcia,Real Madrid,Fullback,Ball recoveries,106
