Player Name,Club,Position,Metric,Value
Kalidou Koulibaly,Al-Hilal,CB,Goals,2
Kalidou Koulibaly,Al-Hilal,CB,Assists,0
Kalidou Koulibaly,Al-Hilal,CB,Progressive Carries,NA
Kalidou Koulibaly,Al-Hilal,CB,Progressive Passes,NA
Kalidou Koulibaly,Al-Hilal,CB,Pass Completion - Short,NA
Kalidou Koulibaly,Al-Hilal,CB,Pass Completion - Medium,NA
Kalidou Koulibaly,Al-Hilal,CB,Pass Completion - Long,NA
Kalidou Koulibaly,Al-Hilal,CB,Through Balls,NA
Kalidou Koulibaly,Al-Hilal,CB,Switches,NA
Kalidou Koulibaly,Al-Hilal,CB,Shot Creating Actions,NA
Kalidou Koulibaly,Al-Hilal,CB,Tackles,39
Kalidou Koulibaly,Al-Hilal,CB,Challenges Lost,NA
Kalidou Koulibaly,Al-Hilal,CB,Interceptions,35
Kalidou Koulibaly,Al-Hilal,CB,Errors,NA
Kalidou Koulibaly,Al-Hilal,CB,Touches,NA
Kalidou Koulibaly,Al-Hilal,CB,Miscontrols,NA
Kalidou Koulibaly,Al-Hilal,CB,Dispossessed,NA
Kalidou Koulibaly,Al-Hilal,CB,Yellow Cards,2
Kalidou Koulibaly,Al-Hilal,CB,Red Cards,1
Kalidou Koulibaly,Al-Hilal,CB,Fouls Committed,29
Kalidou Koulibaly,Al-Hilal,CB,Penalty kicks conceded,NA
Kalidou Koulibaly,Al-Hilal,CB,Aerial Duel win percentage,NA
