Player Name,Club,Position,Metric,Value
Pau Torres,Aston Villa,CB,Goals,0
Pau Torres,Aston Villa,CB,Assists,0
Pau Torres,Aston Villa,CB,Progressive Carries,40
Pau Torres,Aston Villa,CB,Progressive Passes,97
Pau Torres,Aston Villa,CB,Pass Completion - Short,95.2
Pau Torres,Aston Villa,CB,Pass Completion - Medium,93.5
Pau Torres,Aston Villa,CB,Pass Completion - Long,53.4
Pau Torres,Aston Villa,CB,Through Balls,4
Pau Torres,Aston Villa,CB,Switches,12
Pau Torres,Aston Villa,CB,Shot Creating Actions,14
Pau Torres,Aston Villa,CB,Tackles,21
Pau Torres,Aston Villa,CB,Challenges Lost,7
Pau Torres,Aston Villa,CB,Interceptions,10
Pau Torres,Aston Villa,CB,Errors,2
Pau Torres,Aston Villa,CB,Touches,1518
Pau Torres,Aston Villa,CB,Miscontrols,6
Pau Torres,Aston Villa,CB,Dispossessed,5
Pau Torres,Aston Villa,CB,Yellow Cards,2
Pau Torres,Aston Villa,CB,Red Cards,0
Pau Torres,Aston Villa,CB,Fouls Committed,8
Pau Torres,Aston Villa,CB,Penalty kicks conceded,0
Pau Torres,Aston Villa,CB,Aerial Duel win percentage,38.3
