Player Name,Club,Position,Metric,Value
António Silva,Benfica,CB,Goals,1
António Silva,Benfica,CB,Assists,2
António Silva,Benfica,CB,Progressive Carries,32
António Silva,Benfica,CB,Progressive Passes,98
António Silva,Benfica,CB,Pass Completion - Short,92.2
António Silva,Benfica,CB,Pass Completion - Medium,93.4
António Silva,Benfica,CB,Pass Completion - Long,71.8
António Silva,Benfica,CB,Through Balls,1
António Silva,Benfica,CB,Switches,13
António Silva,Benfica,CB,Shot Creating Actions,26
António Silva,Benfica,CB,Tackles,35
António Silva,Benfica,CB,Challenges Lost,8
António Silva,Benfica,CB,Interceptions,22
António Silva,Benfica,CB,Errors,2
António Silva,Benfica,CB,Touches,1591
António Silva,Benfica,CB,Miscontrols,11
António Silva,Benfica,CB,Dispossessed,1
António Silva,Benfica,CB,Yellow Cards,2
António Silva,Benfica,CB,Red Cards,0
António Silva,Benfica,CB,Fouls Committed,29
António Silva,Benfica,CB,Penalty kicks conceded,1
António Silva,Benfica,CB,Aerial Duel win percentage,60.8
