Player Name,Club,Position,Metric,Value
Sven Botman,Newcastle United,CB,Goals,0
Sven Botman,Newcastle United,CB,Assists,0
Sven Botman,Newcastle United,CB,Progressive Carries,0
Sven Botman,Newcastle United,CB,Progressive Passes,7
Sven Botman,Newcastle United,CB,Pass Completion - Short,86.9
Sven Botman,Newcastle United,CB,Pass Completion - Medium,96.3
Sven Botman,Newcastle United,CB,Pass Completion - Long,71.4
Sven Botman,Newcastle United,CB,Through Balls,1
Sven Botman,Newcastle United,CB,Switches,2
Sven Botman,Newcastle United,CB,Shot Creating Actions,4
Sven Botman,Newcastle United,CB,Tackles,12
Sven Botman,Newcastle United,CB,Challenges Lost,2
Sven Botman,Newcastle United,CB,Interceptions,5
Sven Botman,Newcastle United,CB,Errors,1
Sven Botman,Newcastle United,CB,Touches,304
Sven Botman,Newcastle United,CB,Miscontrols,5
Sven Botman,Newcastle United,CB,Dispossessed,1
Sven Botman,Newcastle United,CB,Yellow Cards,0
Sven Botman,Newcastle United,CB,Red Cards,0
Sven Botman,Newcastle United,CB,Fouls Committed,5
Sven Botman,Newcastle United,CB,Penalty kicks conceded,0
Sven Botman,Newcastle United,CB,Aerial Duel win percentage,65.4
