Player Name,Club,Position,Metric,Value
Rúben Dias,Manchester City,CB,Goals,0
Rúben Dias,Manchester City,CB,Assists,0
Rúben Dias,Manchester City,CB,Progressive Carries,43
Rúben Dias,Manchester City,CB,Progressive Passes,160
Rúben Dias,Manchester City,CB,Pass Completion - Short,96.9
Rúben Dias,Manchester City,CB,Pass Completion - Medium,96.5
Rúben Dias,Manchester City,CB,Pass Completion - Long,67.8
Rúben Dias,Manchester City,CB,Through Balls,0
Rúben Dias,Manchester City,CB,Switches,10
Rúben Dias,Manchester City,CB,Shot Creating Actions,26
Rúben Dias,Manchester City,CB,Tackles,17
Rúben Dias,Manchester City,CB,Challenges Lost,6
Rúben Dias,Manchester City,CB,Interceptions,20
Rúben Dias,Manchester City,CB,Errors,4
Rúben Dias,Manchester City,CB,Touches,2499
Rúben Dias,Manchester City,CB,Miscontrols,8
Rúben Dias,Manchester City,CB,Dispossessed,1
Rúben Dias,Manchester City,CB,Yellow Cards,4
Rúben Dias,Manchester City,CB,Red Cards,0
Rúben Dias,Manchester City,CB,Fouls Committed,12
Rúben Dias,Manchester City,CB,Penalty kicks conceded,1
Rúben Dias,Manchester City,CB,Aerial Duel win percentage,52.1
