Player Name,Club,Position,Metric,Value
Matthijs de Ligt,Manchester United,CB,Goals,2
Matthijs de Ligt,Manchester United,CB,Assists,0
Matthijs de Ligt,Manchester United,CB,Progressive Carries,7
Matthijs de Ligt,Manchester United,CB,Progressive Passes,55
Matthijs de Ligt,Manchester United,CB,Pass Completion - Short,94.2
Matthijs de Ligt,Manchester United,CB,Pass Completion - Medium,94.4
Matthijs de Ligt,Manchester United,CB,Pass Completion - Long,49.1
Matthijs de Ligt,Manchester United,CB,Through Balls,0
Matthijs de Ligt,Manchester United,CB,Switches,9
Matthijs de Ligt,Manchester United,CB,Shot Creating Actions,14
Matthijs de Ligt,Manchester United,CB,Tackles,30
Matthijs de Ligt,Manchester United,CB,Challenges Lost,9
Matthijs de Ligt,Manchester United,CB,Interceptions,33
Matthijs de Ligt,Manchester United,CB,Errors,0
Matthijs de Ligt,Manchester United,CB,Touches,1608
Matthijs de Ligt,Manchester United,CB,Miscontrols,5
Matthijs de Ligt,Manchester United,CB,Dispossessed,3
Matthijs de Ligt,Manchester United,CB,Yellow Cards,3
Matthijs de Ligt,Manchester United,CB,Red Cards,0
Matthijs de Ligt,Manchester United,CB,Fouls Committed,16
Matthijs de Ligt,Manchester United,CB,Penalty kicks conceded,2
Matthijs de Ligt,Manchester United,CB,Aerial Duel win percentage,66.7
