Player Name,Club,Position,Metric,Value
Milan Škriniar,Fenerbahçe,CB,Goals,0
Milan Škriniar,Fenerbahçe,CB,Assists,0
Milan Škriniar,Fenerbahçe,CB,Progressive Carries,3
Milan Škriniar,Fenerbahçe,CB,Progressive Passes,20
Milan Škriniar,Fenerbahçe,CB,Pass Completion - Short,97.8
Milan Škriniar,Fenerbahçe,CB,Pass Completion - Medium,97.7
Milan Škriniar,Fenerbahçe,CB,Pass Completion - Long,80.0
Milan Škriniar,Fenerbahçe,CB,Through Balls,0
Milan Škriniar,Fenerbahçe,CB,Switches,2
Milan Škriniar,Fenerbahçe,CB,Shot Creating Actions,6
Milan Škriniar,Fenerbahçe,CB,Tackles,7
Milan Škriniar,Fenerbahçe,CB,Challenges Lost,0
Milan Škriniar,Fenerbahçe,CB,Interceptions,3
Milan Škriniar,Fenerbahçe,CB,Errors,0
Milan Škriniar,Fenerbahçe,CB,Touches,417
Milan Škriniar,Fenerbahçe,CB,Miscontrols,2
Milan Škriniar,Fenerbahçe,CB,Dispossessed,0
Milan Škriniar,Fenerbahçe,CB,Yellow Cards,1
Milan Škriniar,Fenerbahçe,CB,Red Cards,0
Milan Škriniar,Fenerbahçe,CB,Fouls Committed,4
Milan Škriniar,Fenerbahçe,CB,Penalty kicks conceded,0
Milan Škriniar,Fenerbahçe,CB,Aerial Duel win percentage,58.3
