Player Name,Club,Position,Metric,Value
Gabriel Magalhães,Arsenal,CB,Goals,3
Gabriel Magalhães,Arsenal,CB,Assists,1
Gabriel Magalhães,Arsenal,CB,Progressive Carries,10
Gabriel Magalhães,Arsenal,CB,Progressive Passes,126
Gabriel Magalhães,Arsenal,CB,Pass Completion - Short,96.9
Gabriel Magalhães,Arsenal,CB,Pass Completion - Medium,94.2
Gabriel Magalhães,Arsenal,CB,Pass Completion - Long,53.9
Gabriel Magalhães,Arsenal,CB,Through Balls,1
Gabriel Magalhães,Arsenal,CB,Switches,8
Gabriel Magalhães,Arsenal,CB,Shot Creating Actions,35
Gabriel Magalhães,Arsenal,CB,Tackles,25
Gabriel Magalhães,Arsenal,CB,Challenges Lost,4
Gabriel Magalhães,Arsenal,CB,Interceptions,16
Gabriel Magalhães,Arsenal,CB,Errors,2
Gabriel Magalhães,Arsenal,CB,Touches,1873
Gabriel Magalhães,Arsenal,CB,Miscontrols,9
Gabriel Magalhães,Arsenal,CB,Dispossessed,2
Gabriel Magalhães,Arsenal,CB,Yellow Cards,4
Gabriel Magalhães,Arsenal,CB,Red Cards,0
Gabriel Magalhães,Arsenal,CB,Fouls Committed,19
Gabriel Magalhães,Arsenal,CB,Penalty kicks conceded,0
Gabriel Magalhães,Arsenal,CB,Aerial Duel win percentage,58.9
