Player Name,Club,Position,Metric,Value
Cristian Romero,Tottenham Hotspur,CB,Goals,1
Cristian Romero,Tottenham Hotspur,CB,Assists,0
Cristian Romero,Tottenham Hotspur,CB,Progressive Carries,12
Cristian Romero,Tottenham Hotspur,CB,Progressive Passes,71
Cristian Romero,Tottenham Hotspur,CB,Pass Completion - Short,91.4
Cristian Romero,Tottenham Hotspur,CB,Pass Completion - Medium,94.7
Cristian Romero,Tottenham Hotspur,CB,Pass Completion - Long,63.5
Cristian Romero,Tottenham Hotspur,CB,Through Balls,4
Cristian Romero,Tottenham Hotspur,CB,Switches,2
Cristian Romero,Tottenham Hotspur,CB,Shot Creating Actions,20
Cristian Romero,Tottenham Hotspur,CB,Tackles,35
Cristian Romero,Tottenham Hotspur,CB,Challenges Lost,9
Cristian Romero,Tottenham Hotspur,CB,Interceptions,21
Cristian Romero,Tottenham Hotspur,CB,Errors,2
Cristian Romero,Tottenham Hotspur,CB,Touches,1377
Cristian Romero,Tottenham Hotspur,CB,Miscontrols,10
Cristian Romero,Tottenham Hotspur,CB,Dispossessed,5
Cristian Romero,Tottenham Hotspur,CB,Yellow Cards,3
Cristian Romero,Tottenham Hotspur,CB,Red Cards,0
Cristian Romero,Tottenham Hotspur,CB,Fouls Committed,14
Cristian Romero,Tottenham Hotspur,CB,Penalty kicks conceded,0
Cristian Romero,Tottenham Hotspur,CB,Aerial Duel win percentage,60.3
