Player Name,Club,Position,Metric,Value
Alessandro Buongiorno,Napoli,CB,Goals,1
Alessandro Buongiorno,Napoli,CB,Assists,0
Alessandro Buongiorno,Napoli,CB,Progressive Carries,27
Alessandro Buongiorno,Napoli,CB,Progressive Passes,82
Alessandro Buongiorno,Napoli,CB,Pass Completion - Short,93.2
Alessandro Buongiorno,Napoli,CB,Pass Completion - Medium,95.8
Alessandro Buongiorno,Napoli,CB,Pass Completion - Long,59.6
Alessandro Buongiorno,Napoli,CB,Through Balls,0
Alessandro Buongiorno,Napoli,CB,Switches,2
Alessandro Buongiorno,Napoli,CB,Shot Creating Actions,19
Alessandro Buongiorno,Napoli,CB,Tackles,39
Alessandro Buongiorno,Napoli,CB,Challenges Lost,8
Alessandro Buongiorno,Napoli,CB,Interceptions,35
Alessandro Buongiorno,Napoli,CB,Errors,2
Alessandro Buongiorno,Napoli,CB,Touches,1489
Alessandro Buongiorno,Napoli,CB,Miscontrols,13
Alessandro Buongiorno,Napoli,CB,Dispossessed,8
Alessandro Buongiorno,Napoli,CB,Yellow Cards,2
Alessandro Buongiorno,Napoli,CB,Red Cards,0
Alessandro Buongiorno,Napoli,CB,Fouls Committed,17
Alessandro Buongiorno,Napoli,CB,Penalty kicks conceded,0
Alessandro Buongiorno,Napoli,CB,Aerial Duel win percentage,67.2
