Player Name,Club,Position,Metric,Value
Benoît Badiashile,Chelsea,CB,Goals,0
Benoît Badiashile,Chelsea,CB,Assists,0
Benoît Badiashile,Chelsea,CB,Progressive Carries,3
Benoît Badiashile,Chelsea,CB,Progressive Passes,17
Benoît Badiashile,Chelsea,CB,Pass Completion - Short,93.3
Benoît Badiashile,Chelsea,CB,Pass Completion - Medium,93.8
Benoît Badiashile,Chelsea,CB,Pass Completion - Long,65.6
Benoît Badiashile,Chelsea,CB,Through Balls,0
Benoît Badiashile,Chelsea,CB,Switches,1
Benoît Badiashile,Chelsea,CB,Shot Creating Actions,0
Benoît Badiashile,Chelsea,CB,Tackles,9
Benoît Badiashile,Chelsea,CB,Challenges Lost,1
Benoît Badiashile,Chelsea,CB,Interceptions,6
Benoît Badiashile,Chelsea,CB,Errors,2
Benoît Badiashile,Chelsea,CB,Touches,336
Benoît Badiashile,Chelsea,CB,Miscontrols,1
Benoît Badiashile,Chelsea,CB,Dispossessed,0
Benoît Badiashile,Chelsea,CB,Yellow Cards,0
Benoît Badiashile,Chelsea,CB,Red Cards,0
Benoît Badiashile,Chelsea,CB,Fouls Committed,6
Benoît Badiashile,Chelsea,CB,Penalty kicks conceded,0
Benoît Badiashile,Chelsea,CB,Aerial Duel win percentage,80.0
