Player Name,Club,Position,Metric,Value
Malick Thiaw,Newcastle United,CB,Goals,0
Malick Thiaw,Newcastle United,CB,Assists,0
Malick Thiaw,Newcastle United,CB,Progressive Carries,12
Malick Thiaw,Newcastle United,CB,Progressive Passes,89
Malick Thiaw,Newcastle United,CB,Pass Completion - Short,95.2
Malick Thiaw,Newcastle United,CB,Pass Completion - Medium,96.1
Malick Thiaw,Newcastle United,CB,Pass Completion - Long,80.3
Malick Thiaw,Newcastle United,CB,Through Balls,2
Malick Thiaw,Newcastle United,CB,Switches,6
Malick Thiaw,Newcastle United,CB,Shot Creating Actions,21
Malick Thiaw,Newcastle United,CB,Tackles,24
Malick Thiaw,Newcastle United,CB,Challenges Lost,4
Malick Thiaw,Newcastle United,CB,Interceptions,15
Malick Thiaw,Newcastle United,CB,Errors,1
Malick Thiaw,Newcastle United,CB,Touches,1432
Malick Thiaw,Newcastle United,CB,Miscontrols,8
Malick Thiaw,Newcastle United,CB,Dispossessed,2
Malick Thiaw,Newcastle United,CB,Yellow Cards,2
Malick Thiaw,Newcastle United,CB,Red Cards,0
Malick Thiaw,Newcastle United,CB,Fouls Committed,24
Malick Thiaw,Newcastle United,CB,Penalty kicks conceded,0
Malick Thiaw,Newcastle United,CB,Aerial Duel win percentage,64.5
