Player Name,Club,Position,Metric,Value
Manuel Akanji,Internazionale,CB,Goals,0
Manuel Akanji,Internazionale,CB,Assists,0
Manuel Akanji,Internazionale,CB,Progressive Carries,46
Manuel Akanji,Internazionale,CB,Progressive Passes,158
Manuel Akanji,Internazionale,CB,Pass Completion - Short,95.6
Manuel Akanji,Internazionale,CB,Pass Completion - Medium,95.2
Manuel Akanji,Internazionale,CB,Pass Completion - Long,74.3
Manuel Akanji,Internazionale,CB,Through Balls,4
Manuel Akanji,Internazionale,CB,Switches,10
Manuel Akanji,Internazionale,CB,Shot Creating Actions,37
Manuel Akanji,Internazionale,CB,Tackles,19
Manuel Akanji,Internazionale,CB,Challenges Lost,6
Manuel Akanji,Internazionale,CB,Interceptions,9
Manuel Akanji,Internazionale,CB,Errors,3
Manuel Akanji,Internazionale,CB,Touches,1881
Manuel Akanji,Internazionale,CB,Miscontrols,5
Manuel Akanji,Internazionale,CB,Dispossessed,5
Manuel Akanji,Internazionale,CB,Yellow Cards,3
Manuel Akanji,Internazionale,CB,Red Cards,0
Manuel Akanji,Internazionale,CB,Fouls Committed,17
Manuel Akanji,Internazionale,CB,Penalty kicks conceded,0
Manuel Akanji,Internazionale,CB,Aerial Duel win percentage,47.6
