Player Name,Club,Position,Metric,Value
John Stones,Manchester City,CB,Goals,2
John Stones,Manchester City,CB,Assists,0
John Stones,Manchester City,CB,Progressive Carries,10
John Stones,Manchester City,CB,Progressive Passes,21
John Stones,Manchester City,CB,Pass Completion - Short,94.4
John Stones,Manchester City,CB,Pass Completion - Medium,92.5
John Stones,Manchester City,CB,Pass Completion - Long,77.5
John Stones,Manchester City,CB,Through Balls,0
John Stones,Manchester City,CB,Switches,3
John Stones,Manchester City,CB,Shot Creating Actions,8
John Stones,Manchester City,CB,Tackles,6
John Stones,Manchester City,CB,Challenges Lost,0
John Stones,Manchester City,CB,Interceptions,4
John Stones,Manchester City,CB,Errors,1
John Stones,Manchester City,CB,Touches,442
John Stones,Manchester City,CB,Miscontrols,2
John Stones,Manchester City,CB,Dispossessed,0
John Stones,Manchester City,CB,Yellow Cards,1
John Stones,Manchester City,CB,Red Cards,0
John Stones,Manchester City,CB,Fouls Committed,2
John Stones,Manchester City,CB,Penalty kicks conceded,0
John Stones,Manchester City,CB,Aerial Duel win percentage,57.1
