Player Name,Club,Position,Metric,Value
Jules Koundé,Barcelona,CB,Goals,2
Jules Koundé,Barcelona,CB,Assists,3
Jules Koundé,Barcelona,CB,Progressive Carries,44
Jules Koundé,Barcelona,CB,Progressive Passes,165
Jules Koundé,Barcelona,CB,Pass Completion - Short,92.7
Jules Koundé,Barcelona,CB,Pass Completion - Medium,87.5
Jules Koundé,Barcelona,CB,Pass Completion - Long,60.8
Jules Koundé,Barcelona,CB,Through Balls,6
Jules Koundé,Barcelona,CB,Switches,13
Jules Koundé,Barcelona,CB,Shot Creating Actions,59
Jules Koundé,Barcelona,CB,Tackles,63
Jules Koundé,Barcelona,CB,Challenges Lost,22
Jules Koundé,Barcelona,CB,Interceptions,20
Jules Koundé,Barcelona,CB,Errors,2
Jules Koundé,Barcelona,CB,Touches,2453
Jules Koundé,Barcelona,CB,Miscontrols,41
Jules Koundé,Barcelona,CB,Dispossessed,13
Jules Koundé,Barcelona,CB,Yellow Cards,4
Jules Koundé,Barcelona,CB,Red Cards,0
Jules Koundé,Barcelona,CB,Fouls Committed,22
Jules Koundé,Barcelona,CB,Penalty kicks conceded,0
Jules Koundé,Barcelona,CB,Aerial Duel win percentage,56.6
