Player Name,Club,Position,Metric,Value
Aaron Hickey,Brentford,Fullback,NPG,NA
Aaron Hickey,Brentford,Fullback,NPXG,NA
Aaron Hickey,Brentford,Fullback,Assists,0
Aaron Hickey,Brentford,Fullback,Passes attempted,NA
Aaron Hickey,Brentford,Fullback,Pass Completion,NA
Aaron Hickey,Brentford,Fullback,Yellow Cards,NA
Aaron Hickey,Brentford,Fullback,Red Cards,NA
Aaron Hickey,Brentford,Fullback,Progressive carries,NA
Aaron Hickey,Brentford,Fullback,Progressive Passes,NA
Aaron Hickey,Brentford,Fullback,Key passes,NA
Aaron Hickey,Brentford,Fullback,Passes into final third,NA
Aaron Hickey,Brentford,Fullback,Crosses,NA
Aaron Hickey,Brentford,Fullback,Switches,NA
Aaron Hickey,Brentford,Fullback,Through Balls,NA
Aaron Hickey,Brentford,Fullback,Shot creating actions,NA
Aaron Hickey,Brentford,Fullback,Tackles won,NA
Aaron Hickey,Brentford,Fullback,Challenges won,NA
Aaron Hickey,Brentford,Fullback,Blocks,NA
Aaron Hickey,Brentford,Fullback,Aerials won,NA
Aaron Hickey,Brentford,Fullback,Ball recoveries,NA
Aaron Wan-Bissaka,West Ham United,Fullback,NPG,2
Aaron Wan-Bissaka,West Ham United,Fullback,NPXG,1.2
Aaron Wan-Bissaka,West Ham United,Fullback,Assists,5
Aaron Wan-Bissaka,West Ham United,Fullback,Passes attempted,1815
Aaron Wan-Bissaka,West Ham United,Fullback,Pass Completion,81.1
Aaron Wan-Bissaka,West Ham United,Fullback,Yellow Cards,1
Aaron Wan-Bissaka,West Ham United,Fullback,Red Cards,0
Aaron Wan-Bissaka,West Ham United,Fullback,Progressive carries,110
Aaron Wan-Bissaka,West Ham United,Fullback,Progressive Passes,149
Aaron Wan-Bissaka,West Ham United,Fullback,Key passes,33
Aaron Wan-Bissaka,West Ham United,Fullback,Passes into final third,94
Aaron Wan-Bissaka,West Ham United,Fullback,Crosses,76
Aaron Wan-Bissaka,West Ham United,Fullback,Switches,1
Aaron Wan-Bissaka,West Ham United,Fullback,Through Balls,5
Aaron Wan-Bissaka,West Ham United,Fullback,Shot creating actions,93
Aaron Wan-Bissaka,West Ham United,Fullback,Tackles won,49
Aaron Wan-Bissaka,West Ham United,Fullback,Challenges won,NA
Aaron Wan-Bissaka,West Ham United,Fullback,Blocks,37
Aaron Wan-Bissaka,West Ham United,Fullback,Aerials won,22
Aaron Wan-Bissaka,West Ham United,Fullback,Ball recoveries,174
Achraf Hakimi,Paris Saint-Germain,Fullback,NPG,4
Achraf Hakimi,Paris Saint-Germain,Fullback,NPXG,2.9
Achraf Hakimi,Paris Saint-Germain,Fullback,Assists,6
Achraf Hakimi,Paris Saint-Germain,Fullback,Passes attempted,2140
Achraf Hakimi,Paris Saint-Germain,Fullback,Pass Completion,88.7
Achraf Hakimi,Paris Saint-Germain,Fullback,Yellow Cards,4
Achraf Hakimi,Paris Saint-Germain,Fullback,Red Cards,0
Achraf Hakimi,Paris Saint-Germain,Fullback,Progressive carries,93
Achraf Hakimi,Paris Saint-Germain,Fullback,Progressive Passes,183
Achraf Hakimi,Paris Saint-Germain,Fullback,Key passes,50
Achraf Hakimi,Paris Saint-Germain,Fullback,Passes into final third,138
Achraf Hakimi,Paris Saint-Germain,Fullback,Crosses,80
Achraf Hakimi,Paris Saint-Germain,Fullback,Switches,8
Achraf Hakimi,Paris Saint-Germain,Fullback,Through Balls,2
Achraf Hakimi,Paris Saint-Germain,Fullback,Shot creating actions,104
Achraf Hakimi,Paris Saint-Germain,Fullback,Tackles won,36
Achraf Hakimi,Paris Saint-Germain,Fullback,Challenges won,NA
Achraf Hakimi,Paris Saint-Germain,Fullback,Blocks,25
Achraf Hakimi,Paris Saint-Germain,Fullback,Aerials won,9
Achraf Hakimi,Paris Saint-Germain,Fullback,Ball recoveries,136
Benjamin Pavard,Marseille,Fullback,NPG,0
Benjamin Pavard,Marseille,Fullback,NPXG,0.5
Benjamin Pavard,Marseille,Fullback,Assists,1
Benjamin Pavard,Marseille,Fullback,Passes attempted,1150
Benjamin Pavard,Marseille,Fullback,Pass Completion,91.3
Benjamin Pavard,Marseille,Fullback,Yellow Cards,4
Benjamin Pavard,Marseille,Fullback,Red Cards,0
Benjamin Pavard,Marseille,Fullback,Progressive carries,13
Benjamin Pavard,Marseille,Fullback,Progressive Passes,92
Benjamin Pavard,Marseille,Fullback,Key passes,8
Benjamin Pavard,Marseille,Fullback,Passes into final third,84
Benjamin Pavard,Marseille,Fullback,Crosses,11
Benjamin Pavard,Marseille,Fullback,Switches,4
Benjamin Pavard,Marseille,Fullback,Through Balls,0
Benjamin Pavard,Marseille,Fullback,Shot creating actions,21
Benjamin Pavard,Marseille,Fullback,Tackles won,16
Benjamin Pavard,Marseille,Fullback,Challenges won,NA
Benjamin Pavard,Marseille,Fullback,Blocks,16
Benjamin Pavard,Marseille,Fullback,Aerials won,40
Benjamin Pavard,Marseille,Fullback,Ball recoveries,46
Christian Günter,Freiburg,Fullback,NPG,2
Christian Günter,Freiburg,Fullback,NPXG,0.6
Christian Günter,Freiburg,Fullback,Assists,2
Christian Günter,Freiburg,Fullback,Passes attempted,1143
Christian Günter,Freiburg,Fullback,Pass Completion,74.5
Christian Günter,Freiburg,Fullback,Yellow Cards,0
Christian Günter,Freiburg,Fullback,Red Cards,0
Christian Günter,Freiburg,Fullback,Progressive carries,19
Christian Günter,Freiburg,Fullback,Progressive Passes,52
Christian Günter,Freiburg,Fullback,Key passes,28
Christian Günter,Freiburg,Fullback,Passes into final third,53
Christian Günter,Freiburg,Fullback,Crosses,121
Christian Günter,Freiburg,Fullback,Switches,1
Christian Günter,Freiburg,Fullback,Through Balls,2
Christian Günter,Freiburg,Fullback,Shot creating actions,53
Christian Günter,Freiburg,Fullback,Tackles won,21
Christian Günter,Freiburg,Fullback,Challenges won,NA
Christian Günter,Freiburg,Fullback,Blocks,24
Christian Günter,Freiburg,Fullback,Aerials won,7
Christian Günter,Freiburg,Fullback,Ball recoveries,61
Diogo Dalot,Manchester United,Fullback,NPG,0
Diogo Dalot,Manchester United,Fullback,NPXG,2.0
Diogo Dalot,Manchester United,Fullback,Assists,3
Diogo Dalot,Manchester United,Fullback,Passes attempted,1673
Diogo Dalot,Manchester United,Fullback,Pass Completion,80.5
Diogo Dalot,Manchester United,Fullback,Yellow Cards,5
Diogo Dalot,Manchester United,Fullback,Red Cards,0
Diogo Dalot,Manchester United,Fullback,Progressive carries,62
Diogo Dalot,Manchester United,Fullback,Progressive Passes,103
Diogo Dalot,Manchester United,Fullback,Key passes,26
Diogo Dalot,Manchester United,Fullback,Passes into final third,61
Diogo Dalot,Manchester United,Fullback,Crosses,66
Diogo Dalot,Manchester United,Fullback,Switches,8
Diogo Dalot,Manchester United,Fullback,Through Balls,4
Diogo Dalot,Manchester United,Fullback,Shot creating actions,74
Diogo Dalot,Manchester United,Fullback,Tackles won,40
Diogo Dalot,Manchester United,Fullback,Challenges won,NA
Diogo Dalot,Manchester United,Fullback,Blocks,22
Diogo Dalot,Manchester United,Fullback,Aerials won,38
Diogo Dalot,Manchester United,Fullback,Ball recoveries,167
Dodô,Fiorentina,Fullback,NPG,0
Dodô,Fiorentina,Fullback,NPXG,1.4
Dodô,Fiorentina,Fullback,Assists,5
Dodô,Fiorentina,Fullback,Passes attempted,1728
Dodô,Fiorentina,Fullback,Pass Completion,77.6
Dodô,Fiorentina,Fullback,Yellow Cards,8
Dodô,Fiorentina,Fullback,Red Cards,0
Dodô,Fiorentina,Fullback,Progressive carries,143
Dodô,Fiorentina,Fullback,Progressive Passes,128
Dodô,Fiorentina,Fullback,Key passes,36
Dodô,Fiorentina,Fullback,Passes into final third,80
Dodô,Fiorentina,Fullback,Crosses,144
Dodô,Fiorentina,Fullback,Switches,10
Dodô,Fiorentina,Fullback,Through Balls,2
Dodô,Fiorentina,Fullback,Shot creating actions,75
Dodô,Fiorentina,Fullback,Tackles won,30
Dodô,Fiorentina,Fullback,Challenges won,NA
Dodô,Fiorentina,Fullback,Blocks,22
Dodô,Fiorentina,Fullback,Aerials won,12
Dodô,Fiorentina,Fullback,Ball recoveries,183
Emerson,Flamengo,Fullback,NPG,0
Emerson,Flamengo,Fullback,NPXG,0.4
Emerson,Flamengo,Fullback,Assists,0
Emerson,Flamengo,Fullback,Passes attempted,909
Emerson,Flamengo,Fullback,Pass Completion,86.2
Emerson,Flamengo,Fullback,Yellow Cards,5
Emerson,Flamengo,Fullback,Red Cards,0
Emerson,Flamengo,Fullback,Progressive carries,23
Emerson,Flamengo,Fullback,Progressive Passes,68
Emerson,Flamengo,Fullback,Key passes,15
Emerson,Flamengo,Fullback,Passes into final third,44
Emerson,Flamengo,Fullback,Crosses,45
Emerson,Flamengo,Fullback,Switches,3
Emerson,Flamengo,Fullback,Through Balls,0
Emerson,Flamengo,Fullback,Shot creating actions,33
Emerson,Flamengo,Fullback,Tackles won,28
Emerson,Flamengo,Fullback,Challenges won,NA
Emerson,Flamengo,Fullback,Blocks,13
Emerson,Flamengo,Fullback,Aerials won,24
Emerson,Flamengo,Fullback,Ball recoveries,59
