Player Name,Club,Position,Metric,Value
Loïs Openda,Juventus,ST,Goals,9
Loïs Openda,Juventus,ST,Assists,5
Loïs Openda,Juventus,ST,NPG,9
Loïs Openda,Juventus,ST,XG,9.0
Loïs Openda,Juventus,ST,XA,3.4
Loïs Openda,Juventus,ST,Progressive passes,47
Loïs Openda,Juventus,ST,Progressive carries,58
Loïs Openda,Juventus,ST,Passes completed,377
Loïs Openda,Juventus,ST,Passes attempted,591
Loïs Openda,Juventus,ST,Key passes,28
Loïs Openda,Juventus,ST,Through balls,2
Loïs Openda,Juventus,ST,Switches,6
Loïs Openda,Juventus,ST,Crosses,27
Loïs Openda,Juventus,ST,Corners,0
Loïs Openda,Juventus,ST,Shot creating Actions,66
Loïs Openda,Juventus,ST,SCA Take Ons,4
Loïs Openda,Juventus,ST,GCA Shots,2
Loïs Openda,Juventus,ST,Goal Creating Actions,10
Loïs Openda,Juventus,ST,Tackles,9
Loïs Openda,Juventus,ST,Dribblers tackles,NA
Loïs Openda,Juventus,ST,Shots blocked,1
Loïs Openda,Juventus,ST,Blocks,19
Loïs Openda,Juventus,ST,Interceptions,5
Loïs Openda,Juventus,ST,Passes Recieved,718
Loïs Openda,Juventus,ST,Offsides,27
Loïs Openda,Juventus,ST,Ball recoveries,54
Loïs Openda,Juventus,ST,Errors,0
Loïs Openda,Juventus,ST,Touches,904
Loïs Openda,Juventus,ST,Miscontrols,82
Loïs Openda,Juventus,ST,Dispossessed,27
Loïs Openda,Juventus,ST,Yellow Cards,5
Loïs Openda,Juventus,ST,Red Cards,1
Loïs Openda,Juventus,ST,Fouls committed,29
Loïs Openda,Juventus,ST,Aerials Won,19
